RE_Identity	Normalized	FOLD	condensed
BBhp	1.50254323499491	-0.101365197815703	hp
phSB	0.268048128342246	-2.58820773567263	phS
7ppB	0.470061099796334	-1.77785150279648	7pp
pphh	0.277715565509518	-2.53709175697426	pphh
pppp	0.365935483870968	-2.13911048004936	pppp
Control	1.33924611973392	-0.267350586170213	Control
pphB	0.775488069414317	-1.0555952110035	pph
7h7S	0.204512722035526	-2.97850920605472	7h7S
Sp7p	0.13695652173913	-3.55698182968437	Sp7p
BpBp	0.603904787376304	-1.41637868732508	pp
Bpph	0.316602316602317	-2.34802798530838	pph
hp7S	0.253041362530414	-2.6713265677805	hp7S
BhpB	1.99688715953307	0.308981108768531	hp
hShh	0.2375	-2.76277228368369	hShh
h7hh	0.188235294117647	-3.09816263837761	h7hh
ppSp	0.405152224824356	-1.99223573422368	ppSp
7ph7	0.251034482758621	-2.68281424694351	7ph7
hhB7	1.17241379310345	-0.459289856117144	hh7
pSSp	0.656758669497523	-1.29533645744628	pSSp
7pp7	0.55423197492163	-1.54020985150071	7pp7
B7hS	0.44515612489992	-1.85638839112436	7hS
S7hS	0.303104077906269	-2.4108865351219	S7hS
pSBB	0.714673094305514	-1.17341632177221	pS
pShS	0.5696	-1.50075065082296	pShS
hBBp	0.807547169811321	-0.997153265289326	hp
7Shh	0.297179412619948	-2.43936562182908	7Shh
h7p7	0.253564154786151	-2.66834898448652	h7p7
7SBp	0.477564102564103	-1.75500540064	7Sp
7ppS	0.188811188811189	-3.09375553685483	7ppS
SpSh	0.473087818696884	-1.76859178303704	SpSh
hBBB	0.869086908690869	-0.891199343369553	h
